model,step,mmlu_avg,core7_avg,file
blade,1000,2.850890874862671,2.4833652462278093,blade\step1000_task_loss.json
blade,1250,2.9086933732032776,2.5098755019051686,blade\step1250_task_loss.json
blade,1500,2.939699947834015,2.532494102205549,blade\step1500_task_loss.json
blade,1750,2.9949106574058533,2.569699832371303,blade\step1750_task_loss.json
blade,2000,3.020431935787201,2.5823209626334056,blade\step2000_task_loss.json
blade,2250,3.042963683605194,2.599829741886684,blade\step2250_task_loss.json
blade,2384,3.049452543258667,2.603428636278425,blade\step2384_task_loss.json
blade,250,5.007835030555725,3.4538494859422957,blade\step250_task_loss.json
blade,500,5.3526477217674255,3.770087242126465,blade\step500_task_loss.json
blade,750,3.226275324821472,2.6918911933898926,blade\step750_task_loss.json
ce-regmix,1000,5.2275800704956055,3.621342420578003,ce-regmix\step1000_task_loss.json
ce-regmix,1250,5.199317693710327,3.6328318459647044,ce-regmix\step1250_task_loss.json
ce-regmix,1500,5.076254427433014,3.611839941569737,ce-regmix\step1500_task_loss.json
ce-regmix,1750,5.085397362709045,3.5991262708391463,ce-regmix\step1750_task_loss.json
ce-regmix,2000,5.143979728221893,3.598241022654942,ce-regmix\step2000_task_loss.json
ce-regmix,2250,5.163133263587952,3.615994691848755,ce-regmix\step2250_task_loss.json
ce-regmix,2384,5.211949169635773,3.6380609444209506,ce-regmix\step2384_task_loss.json
ce-regmix,250,5.059283196926117,3.3110386644090926,ce-regmix\step250_task_loss.json
ce-regmix,500,5.094721972942352,3.5035810811179027,ce-regmix\step500_task_loss.json
ce-regmix,750,5.273907661437988,3.566260576248169,ce-regmix\step750_task_loss.json
refhq,1000,1.8917701542377472,1.74715290750776,refhq\step1000_task_loss.json
refhq,1125,1.872756540775299,1.7218365158353532,refhq\step1125_task_loss.json
refhq,125,2.6978960633277893,2.437083261353629,refhq\step125_task_loss.json
refhq,1315,1.859043151140213,1.718183262007577,refhq\step1315_task_loss.json
refhq,250,2.407348245382309,2.1339476789746965,refhq\step250_task_loss.json
refhq,375,2.1862568855285645,1.9558051654270716,refhq\step375_task_loss.json
refhq,500,2.059703052043915,1.8934008053370885,refhq\step500_task_loss.json
refhq,625,1.965245634317398,1.8116151605333601,refhq\step625_task_loss.json
refhq,750,1.9324361681938171,1.793915833745684,refhq\step750_task_loss.json
refhq,875,1.910276621580124,1.7744290658405848,refhq\step875_task_loss.json
rel-ema,1000,2.8485761284828186,2.4230293887002126,rel-ema\step1000_task_loss.json
rel-ema,1250,2.8267428874969482,2.3960523435047696,rel-ema\step1250_task_loss.json
rel-ema,125,3.7683913707733154,2.9059883526393344,rel-ema\step125_task_loss.json
rel-ema,1500,2.7659661769866943,2.400059240204947,rel-ema\step1500_task_loss.json
rel-ema,1750,2.682757705450058,2.4073242119380405,rel-ema\step1750_task_loss.json
rel-ema,2000,2.650230973958969,2.34170925617218,rel-ema\step2000_task_loss.json
rel-ema,2250,2.669154405593872,2.297088009970529,rel-ema\step2250_task_loss.json
rel-ema,2375,2.6603256464004517,2.3412594624928067,rel-ema\step2375_task_loss.json
rel-ema,2386,2.6642205715179443,2.339502045086452,rel-ema\step2386_task_loss.json
rel-ema,24,3.562188744544983,2.672722714287894,rel-ema\step24_task_loss.json
rel-ema,250,3.3896012902259827,2.6691179616110667,rel-ema\step250_task_loss.json
rel-ema,500,2.952732741832733,2.518694979803903,rel-ema\step500_task_loss.json
rel-ema,750,2.882365643978119,2.458470889500209,rel-ema\step750_task_loss.json
